Name,Type,Default,Choices,Description,Config
mm-tensor-ipc,Enum,direct_rpc,"direct_rpc,torch_shm","IPC (inter-process communication) method for<br>multimodal tensors.<br>- ""direct_rpc"": Use msgspec serialization via RPC<br>- ""torch_shm"": Use torch.multiprocessing shared memory<br>for zero-copy IPC Defaults to ""direct_rpc"".",MultiModalConfig
skip-mm-profiling,Boolean flag,False,,"When enabled, skips multimodal memory profiling and<br>only profiles with language backbone model during<br>engine initialization.<br>This reduces engine startup time but shifts the<br>responsibility to users for estimating the peak memory<br>usage of the activation of multimodal encoder and<br>embedding cache.",MultiModalConfig
no-skip-mm-profiling,Boolean flag,False,,"When enabled, skips multimodal memory profiling and<br>only profiles with language backbone model during<br>engine initialization.<br>This reduces engine startup time but shifts the<br>responsibility to users for estimating the peak memory<br>usage of the activation of multimodal encoder and<br>embedding cache.",MultiModalConfig
video-pruning-rate,float,None,,Sets pruning rate for video pruning via Efficient<br>Video Sampling. Value sits in range [0;1) and<br>determines fraction of media tokens from each video to<br>be pruned.,MultiModalConfig
default-mm-loras,dict,None,,"Dictionary mapping specific modalities to LoRA model<br>paths; this field is only applicable to multimodal<br>models and should be leveraged when a model always<br>expects a LoRA to be active when a given modality is<br>present. Note that currently, if a request provides<br>multiple additional modalities, each of which have<br>their own LoRA, we do NOT apply default_mm_loras<br>because we currently only support one lora adapter per<br>prompt. When run in offline mode, the lora IDs for n<br>modalities will be automatically assigned to 1-n with<br>the names of the modalities in alphabetic order.<br>Should either be a valid JSON string or JSON keys<br>passed individually.",LoRAConfig
enable-lora,Boolean flag,None,,"If True, enable handling of LoRA adapters.",LoRAConfig
no-enable-lora,Boolean flag,None,,"If True, enable handling of LoRA adapters.",LoRAConfig
enable-mixed-moe-lora-format,Boolean flag,False,,"If True, force the engine to use the universal 2D MoE<br>LoRA wrapper (`FusedMoEWithLoRA`) regardless of the<br>model's `is_3d_moe_weight` flag, so that 2D-format and<br>3D-format MoE LoRA adapters can be served in the same<br>deployment. Only meaningful forMoE models; ignored<br>otherwise. Default False  keeps the existing model-<br>driven behavior.",LoRAConfig
no-enable-mixed-moe-lora-format,Boolean flag,False,,"If True, force the engine to use the universal 2D MoE<br>LoRA wrapper (`FusedMoEWithLoRA`) regardless of the<br>model's `is_3d_moe_weight` flag, so that 2D-format and<br>3D-format MoE LoRA adapters can be served in the same<br>deployment. Only meaningful forMoE models; ignored<br>otherwise. Default False  keeps the existing model-<br>driven behavior.",LoRAConfig
enable-tower-connector-lora,Boolean flag,False,,"If `True`, LoRA support for the tower (vision encoder)<br>and connector  of multimodal models will be enabled.<br>This is an experimental feature and  currently only<br>supports some MM models such as the Qwen VL series.<br>The default  is False.",LoRAConfig
no-enable-tower-connector-lora,Boolean flag,False,,"If `True`, LoRA support for the tower (vision encoder)<br>and connector  of multimodal models will be enabled.<br>This is an experimental feature and  currently only<br>supports some MM models such as the Qwen VL series.<br>The default  is False.",LoRAConfig
fully-sharded-loras,Boolean flag,False,,"By default, only half of the LoRA computation is<br>sharded with tensor parallelism. Enabling this will<br>use the fully sharded layers. At high sequence length,<br>max rank or tensor parallel size, this is likely<br>faster.",LoRAConfig
no-fully-sharded-loras,Boolean flag,False,,"By default, only half of the LoRA computation is<br>sharded with tensor parallelism. Enabling this will<br>use the fully sharded layers. At high sequence length,<br>max rank or tensor parallel size, this is likely<br>faster.",LoRAConfig
lora-dtype,Enum,auto,"auto,bfloat16,float16","Data type for LoRA. If auto, will default to base<br>model dtype.",LoRAConfig
lora-target-modules,List,None,,"Restrict LoRA to specific module suffixes (e.g.,<br>[""o_proj"", ""qkv_proj""]). If None, all supported LoRA<br>modules are used. This allows deployment-time control<br>over which modules have LoRA applied, useful for<br>performance tuning.",LoRAConfig
max-cpu-loras,int,None,,Maximum number of LoRAs to store in CPU memory. Must<br>be >= than `max_loras`.,LoRAConfig
max-lora-rank,Enum,16,"1,8,16,32,64,128,256,320,512",Max LoRA rank.,LoRAConfig
max-loras,int,1,,Max number of LoRAs in a single batch.,LoRAConfig
specialize-active-lora,Boolean flag,False,,"Whether to construct lora kernel grid by the number of<br>active LoRA adapters. When set to True, separate cuda<br>graphs will be captured for different counts of active<br>LoRAs (powers of 2 up to max_loras), which can improve<br>performance for variable LoRA usage patterns at the<br>cost of increased startup time and memory usage. Only<br>takes effect when cudagraph_specialize_lora is True.",LoRAConfig
no-specialize-active-lora,Boolean flag,False,,"Whether to construct lora kernel grid by the number of<br>active LoRA adapters. When set to True, separate cuda<br>graphs will be captured for different counts of active<br>LoRAs (powers of 2 up to max_loras), which can improve<br>performance for variable LoRA usage patterns at the<br>cost of increased startup time and memory usage. Only<br>takes effect when cudagraph_specialize_lora is True.",LoRAConfig
collect-detailed-traces,List,None,"all,model,worker,None","It makes sense to set this only if `--otlp-traces-<br>endpoint` is set. If set, it will collect detailed<br>traces for the specified modules. This involves use of<br>possibly costly and or blocking operations and hence<br>might have a performance impact.<br>Note that collecting detailed timing information for<br>each request can be expensive.",ObservabilityConfig
cudagraph-metrics,Boolean flag,False,,"Enable CUDA graph metrics (number of padded/unpadded<br>tokens, runtime cudagraph dispatch modes, and their<br>observed frequencies at every logging interval).",ObservabilityConfig
no-cudagraph-metrics,Boolean flag,False,,"Enable CUDA graph metrics (number of padded/unpadded<br>tokens, runtime cudagraph dispatch modes, and their<br>observed frequencies at every logging interval).",ObservabilityConfig
enable-layerwise-nvtx-tracing,Boolean flag,False,,Enable layerwise NVTX tracing. This traces the<br>execution of each layer or module in the model and<br>attach information such as input/output shapes to nvtx<br>range markers. Noted that this doesn't work with CUDA<br>graphs enabled.,ObservabilityConfig
no-enable-layerwise-nvtx-tracing,Boolean flag,False,,Enable layerwise NVTX tracing. This traces the<br>execution of each layer or module in the model and<br>attach information such as input/output shapes to nvtx<br>range markers. Noted that this doesn't work with CUDA<br>graphs enabled.,ObservabilityConfig
enable-logging-iteration-details,Boolean flag,False,,"Enable detailed logging of iteration details. If set,<br>vllm EngineCore will log iteration details This<br>includes number of context/generation requests and<br>tokens and the elapsed cpu time for the iteration.",ObservabilityConfig
no-enable-logging-iteration-details,Boolean flag,False,,"Enable detailed logging of iteration details. If set,<br>vllm EngineCore will log iteration details This<br>includes number of context/generation requests and<br>tokens and the elapsed cpu time for the iteration.",ObservabilityConfig
enable-mfu-metrics,Boolean flag,False,,Enable Model FLOPs Utilization (MFU) metrics.,ObservabilityConfig
no-enable-mfu-metrics,Boolean flag,False,,Enable Model FLOPs Utilization (MFU) metrics.,ObservabilityConfig
kv-cache-metrics,Boolean flag,False,,"Enable KV cache residency metrics (lifetime, idle<br>time, reuse gaps). Uses sampling to minimize overhead.<br>Requires log stats to be enabled (i.e., --disable-log-<br>stats not set).",ObservabilityConfig
no-kv-cache-metrics,Boolean flag,False,,"Enable KV cache residency metrics (lifetime, idle<br>time, reuse gaps). Uses sampling to minimize overhead.<br>Requires log stats to be enabled (i.e., --disable-log-<br>stats not set).",ObservabilityConfig
kv-cache-metrics-sample,float,0.01,,"Sampling rate for KV cache metrics (0.0, 1.0]. Default<br>0.01 = 1% of blocks.",ObservabilityConfig
otlp-traces-endpoint,str,None,,Target URL to which OpenTelemetry traces will be sent.,ObservabilityConfig
show-hidden-metrics-for-version,str,None,,"Enable deprecated Prometheus metrics that have been<br>hidden since the specified version. For example, if a<br>previously deprecated metric has been hidden since the<br>v0.7.0 release, you use `--show-hidden-metrics-for-<br>version=0.7` as a temporary escape hatch while you<br>migrate to new metrics. The metric is likely to be<br>removed completely in an upcoming release.",ObservabilityConfig
async-scheduling,Boolean flag,None,,"If set to False, disable async scheduling. Async<br>scheduling helps to avoid gaps in GPU utilization,<br>leading to better latency and throughput.",SchedulerConfig
no-async-scheduling,Boolean flag,None,,"If set to False, disable async scheduling. Async<br>scheduling helps to avoid gaps in GPU utilization,<br>leading to better latency and throughput.",SchedulerConfig
disable-chunked-mm-input,Boolean flag,False,,"If set to true and chunked prefill is enabled, we do<br>not want to partially schedule a multimodal item. Only<br>used in V1 This ensures that if a request has a mixed<br>prompt (like text tokens TTTT followed by image tokens<br>IIIIIIIIII) where only some image tokens can be<br>scheduled (like TTTTIIIII, leaving IIIII), it will be<br>scheduled as TTTT in one step and IIIIIIIIII in the<br>next.",SchedulerConfig
no-disable-chunked-mm-input,Boolean flag,False,,"If set to true and chunked prefill is enabled, we do<br>not want to partially schedule a multimodal item. Only<br>used in V1 This ensures that if a request has a mixed<br>prompt (like text tokens TTTT followed by image tokens<br>IIIIIIIIII) where only some image tokens can be<br>scheduled (like TTTTIIIII, leaving IIIII), it will be<br>scheduled as TTTT in one step and IIIIIIIIII in the<br>next.",SchedulerConfig
disable-hybrid-kv-cache-manager,Boolean flag,None,,"If set to True, KV cache manager will allocate the<br>same size of KV cache for all attention layers even if<br>there are multiple type of attention layers like full<br>attention and sliding window attention. If set to<br>None, the default value will be determined based on<br>the environment and starting configuration.",SchedulerConfig
no-disable-hybrid-kv-cache-manager,Boolean flag,None,,"If set to True, KV cache manager will allocate the<br>same size of KV cache for all attention layers even if<br>there are multiple type of attention layers like full<br>attention and sliding window attention. If set to<br>None, the default value will be determined based on<br>the environment and starting configuration.",SchedulerConfig
enable-chunked-prefill,Boolean flag,None,,"If True, prefill requests can be chunked based on the<br>remaining `max_num_batched_tokens`.<br>The default value here is mainly for convenience when<br>testing. In real usage, this should be set in<br>`EngineArgs.create_engine_config`.",SchedulerConfig
no-enable-chunked-prefill,Boolean flag,None,,"If True, prefill requests can be chunked based on the<br>remaining `max_num_batched_tokens`.<br>The default value here is mainly for convenience when<br>testing. In real usage, this should be set in<br>`EngineArgs.create_engine_config`.",SchedulerConfig
long-prefill-token-threshold,int,0,,"For chunked prefill, a request is considered long if<br>the prompt is longer than this number of tokens.",SchedulerConfig
max-long-partial-prefills,int,1,,"For chunked prefill, the maximum number of prompts<br>longer than long_prefill_token_threshold that will be<br>prefilled concurrently. Setting this less than<br>max_num_partial_prefills will allow shorter prompts to<br>jump the queue in front of longer prompts in some<br>cases, improving latency.",SchedulerConfig
max-num-batched-tokens,int,None,,"Maximum number of tokens that can be processed in a<br>single iteration.<br>The default value here is mainly for convenience when<br>testing. In real usage, this should be set in<br>`EngineArgs.create_engine_config`.<br>Parse human-readable integers like '1k', '2M', etc.<br>Including decimal values with decimal multipliers.<br>    Examples:<br>    - '1k' -> 1,000<br>    - '1K' -> 1,024<br>    - '25.6k' -> 25,600",SchedulerConfig
max-num-partial-prefills,int,1,,"For chunked prefill, the maximum number of sequences<br>that can be partially prefilled concurrently.",SchedulerConfig
max-num-seqs,int,None,,"Maximum number of sequences to be processed in a<br>single iteration.<br>The default value here is mainly for convenience when<br>testing. In real usage, this should be set in<br>`EngineArgs.create_engine_config`.",SchedulerConfig
scheduler-cls,str,None,,"The scheduler class to use.<br>""vllm.v1.core.sched.scheduler.Scheduler"" is the<br>default scheduler. Can be a class directly or the path<br>to a class of form ""mod.custom_class"".",SchedulerConfig
scheduler-reserve-full-isl,Boolean flag,True,,"If True, the scheduler checks whether the full input<br>sequence length fits in the KV cache before admitting<br>a new request, rather than only checking the first<br>chunk. Prevents over-admission and KV cache thrashing<br>with chunked prefill.",SchedulerConfig
no-scheduler-reserve-full-isl,Boolean flag,True,,"If True, the scheduler checks whether the full input<br>sequence length fits in the KV cache before admitting<br>a new request, rather than only checking the first<br>chunk. Prevents over-admission and KV cache thrashing<br>with chunked prefill.",SchedulerConfig
scheduling-policy,Enum,fcfs,"fcfs,priority","The scheduling policy to use:<br>- ""fcfs"" means first come first served, i.e. requests<br>are handled in order  of arrival.<br>- ""priority"" means requests are handled based on given<br>priority (lower value means earlier handling) and time<br>of arrival deciding any ties).",SchedulerConfig
stream-interval,int,1,,"The interval (or buffer size) for streaming in terms<br>of token length. A smaller value (1) makes streaming<br>smoother by sending each token immediately, while a<br>larger value (e.g., 10) reduces host overhead and may<br>increase throughput by batching multiple tokens before<br>sending.",SchedulerConfig
cudagraph-capture-sizes,List,None,,Sizes to capture cudagraph.<br>- None (default): capture sizes are inferred from vllm<br>config.<br>- list[int]: capture sizes are specified as given.,CompilationConfig
max-cudagraph-capture-size,int,None,,"The maximum cudagraph capture size.<br>If cudagraph_capture_sizes is specified, this will be<br>set to the largest size in that list (or checked for<br>consistency if specified). If cudagraph_capture_sizes<br>is not specified, the list of sizes is generated<br>automatically following the pattern:<br>    [1, 2, 4] + list(range(8, 256, 8)) + list(<br>range(256, max_cudagraph_capture_size + 1, 16))<br>If not specified, max_cudagraph_capture_size is set to<br>min(max_num_seqs*2, 512) by default. This voids OOM in<br>tight memory scenarios with small max_num_seqs, and<br>prevents capture of many large graphs (>512) that<br>would greatly increase startup time with limited<br>performance benefit.",CompilationConfig
mode,CompilationMode | None,None` (V1 defaults to 3),,"The compilation approach: None=0, STOCK_TORCH_COMPILE=1, DYNAMO_TRACE_ONCE=2, VLLM_COMPILE=3.",CompilationConfig
debug_dump_path,Path | None,None,,The path to dump debug information for compilation.,CompilationConfig
cache_dir,str,"""""",,The directory to store the compiled graph.,CompilationConfig
compile_cache_save_format,"""binary"" | ""unpacked""","""binary""",,Format for saving torch compile cache: 'binary' or 'unpacked'.,CompilationConfig
backend,str,"""""",,The backend to use for weight transfer during RL training.,CompilationConfig
custom_ops,list[str],[],,Fine-grained control over which custom ops to enable/disable.,CompilationConfig
ir_enable_torch_wrap,bool | None,None,,"If True, enable vllm_ir torch custom op wrapping during the forward pass.",CompilationConfig
splitting_ops,list[str] | None,None,,"A list of ops to exclude from CUDA graphs, used in piecewise compilation.",CompilationConfig
compile_mm_encoder,bool,False,,Whether or not to compile the multimodal encoder.,CompilationConfig
cudagraph_mm_encoder,bool,False,,Enable CUDA graph capture for multimodal encoder (ViT).,CompilationConfig
encoder_cudagraph_token_budgets,list[int],[],,Token budget levels for encoder CUDA graph capture.,CompilationConfig
encoder_cudagraph_max_vision_items_per_batch,int,0,,Maximum number of images/videos per batch for encoder CUDA graph capture.,CompilationConfig
encoder_cudagraph_max_frames_per_batch,int | None,None,,Maximum total video frames per batch for encoder CUDA graph capture.,CompilationConfig
compile_sizes,list[int | str] | None,None,,Sizes to compile for Inductor.,CompilationConfig
compile_ranges_endpoints,list[int] | None,None,,Endpoints for Inductor compile ranges.,CompilationConfig
inductor_compile_config,dict,{},,Additional configurations for Inductor.,CompilationConfig
inductor_passes,"dict[str, str]",{},,Additional custom passes for Inductor.,CompilationConfig
cudagraph_mode,CUDAGraphMode | None,None,,"The mode of the CUDA graph: NONE, PIECEWISE, FULL, FULL_DECODE_ONLY, FULL_AND_PIECEWISE.",CompilationConfig
cudagraph_num_of_warmups,int,0,,Number of warmup runs for CUDA graph capture.,CompilationConfig
cudagraph_capture_sizes,list[int] | None,None,,Sizes to capture CUDA graph. None means inferred from vllm config.,CompilationConfig
cudagraph_copy_inputs,bool,False,,Whether to copy input tensors for CUDA graph.,CompilationConfig
cudagraph_specialize_lora,bool,True,,Whether to create separate CUDA graphs for cases with and without active LoRA adapters.,CompilationConfig
use_inductor_graph_partition,bool | None,None,,Use Inductor graph partition to split the graph at cudagraph_unsafe ops.,CompilationConfig
pass_config,PassConfig,{},,Custom Inductor passes configuration.,CompilationConfig
max_cudagraph_capture_size,int | None,None,,The maximum CUDA graph capture size.,CompilationConfig
dynamic_shapes_config,DynamicShapesConfig,see below,,Configuration for dynamic shapes options.,CompilationConfig
local_cache_dir,str | None,None,,Local cache dir for each rank.,CompilationConfig
fast_moe_cold_start,bool | None,None,,Optimization for fast MoE cold start.,CompilationConfig
static_all_moe_layers,list,[],,The names of all the MoE layers in the model.,CompilationConfig
fuse_norm_quant,bool | None,None,,Fuse the custom RMSNorm + quantization ops.,PassConfig
fuse_act_quant,bool | None,None,,Fuse the custom SiluMul + quantization ops.,PassConfig
fuse_attn_quant,bool | None,None,,Fuse the custom Attention and MLAAttention + quantization ops.,PassConfig
eliminate_noops,bool,True,,Eliminate no-op ops during compilation.,PassConfig
enable_sp,bool | None,None,,Enable sequence parallelism. Requires TP > 1.,PassConfig
fuse_gemm_comms,bool | None,None,,Enable async tensor parallelism (TP) via GEMM+comm fusion.,PassConfig
fuse_allreduce_rms,bool | None,None,,Enable FlashInfer allreduce+RMSNorm fusion.,PassConfig
fuse_minimax_qk_norm,bool | None,"None` (deprecated, no effect)",,"Enable fused allreduce+RMSNorm for MiniMax QK norm (deprecated, no effect).",PassConfig
enable_qk_norm_rope_fusion,bool | None,None,,Enable fused Q/K RMSNorm + RoPE pass.,PassConfig
fuse_rope_kvcache_cat_mla,bool | None,None,,Enable fused MLA KV cache update with RoPE.,PassConfig
fuse_act_padding,bool | None,None` (ROCm only),,Fuse the custom RMSNorm + padding ops (ROCm only).,PassConfig
fuse_mla_dual_rms_norm,bool | None,None` (ROCm only),,Fuse paired q/kv RMS norms in MLA attention (ROCm only).,PassConfig
fuse_rope_kvcache,bool | None,None` (ROCm only),,Fuse the QK rope + KV cache ops (ROCm only).,PassConfig
rope_kvcache_fusion_max_token_num,int,256,,The threshold for ROCm AITER RoPE+KVCache fusion.,PassConfig
fi_allreduce_fusion_max_size_mb,float | None,None,,Threshold (MB) of tensor sizes under which FlashInfer fused allreduce is used.,PassConfig
sp_min_token_num,int | None,None,,Minimum number of tokens above which sequence parallelism is used.,PassConfig
type,"""backed"" | ""unbacked"" | ""backed_size_oblivious""","""backed""",,"Controls the type of dynamic shapes handling: backed, unbacked, or backed_size_oblivious.",DynamicShapesConfig
evaluate_guards,bool,False,,Debug mode to detect and fail if Dynamo specializes a dynamic shape.,DynamicShapesConfig
assume_32_bit_indexing,bool,False,,Whether all tensor sizes can use 32-bit indexing.,DynamicShapesConfig
enable-flashinfer-autotune,Boolean flag,None,,"If True, run FlashInfer autotuning during kernel<br>warmup.",KernelConfig
no-enable-flashinfer-autotune,Boolean flag,None,,"If True, run FlashInfer autotuning during kernel<br>warmup.",KernelConfig
ir-op-priority,dict (IrOpPriorityConfig),"IrOpPriorityConfig(rms_norm=[],<br>fused_add_rms_norm=[])",,vLLM IR op priority for dispatching/lowering during<br>the forward pass. Platform defaults appended<br>automatically during VllmConfig.__post_init__.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.IrOpPriorityConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,KernelConfig
linear-backend,Enum,auto,"aiter,auto,conch,cutlass,deep_gemm,emulation,exllama,fbgemm,flashinfer_cudnn,flashinfer_cutlass,flashinfer_trtllm,machete,marlin,torch,triton","Backend for quantized linear layer GEMM kernels.<br>Available options:<br>- ""auto"": Automatically select the best backend based<br>on model and hardware<br>- ""cutlass"": Use CUTLASS-based kernels<br>- ""flashinfer_cutlass"": Use FlashInfer with CUTLASS<br>kernels<br>- ""flashinfer_trtllm"": Use FlashInfer with TensorRT-<br>LLM kernels<br>- ""flashinfer_cudnn"": Use FlashInfer with cuDNN<br>kernels<br>- ""marlin"": Use Marlin kernels<br>- ""triton"": Use Triton-based kernels<br>- ""deep_gemm"": Use DeepGEMM kernels<br>- ""torch"": Use PyTorch native scaled_mm kernels<br>- ""aiter"": Use AMD AITer kernels (ROCm only)<br>- ""machete"": Use Machete kernels (mixed-precision)<br>- ""fbgemm"": Use FBGEMM kernels<br>- ""conch"": Use Conch mixed-precision kernels<br>- ""exllama"": Use Exllama mixed-precision kernels<br>- ""emulation"": Use slow dequant-to-BF16 emulation (for<br>testing only)",KernelConfig
moe-backend,Enum,auto,"aiter,auto,cutlass,deep_gemm,deep_gemm_mega_moe,emulation,flashinfer_b12x,flashinfer_cutedsl,flashinfer_cutlass,flashinfer_trtllm,humming,marlin,triton,triton_unfused","Backend for MoE expert computation kernels. Available<br>options:<br>- ""auto"": Automatically select the best backend based<br>on model and hardware<br>- ""triton"": Use Triton-based fused MoE kernels<br>- ""deep_gemm"": Use DeepGEMM kernels (FP8 block-<br>quantized only)<br>- ""deep_gemm_mega_moe"": Use DeepGEMM mega MoE kernels<br>- ""cutlass"": Use vLLM CUTLASS kernels<br>- ""flashinfer_trtllm"": Use FlashInfer with TRTLLM-GEN<br>kernels<br>- ""flashinfer_cutlass"": Use FlashInfer with CUTLASS<br>kernels<br>- ""flashinfer_cutedsl"": Use FlashInfer with CuteDSL<br>kernels (FP4 only)<br>- ""flashinfer_b12x"": Use FlashInfer CuteDSL fused MoE<br>for SM12x (RTX Pro 6000 / DGX Spark)<br>- ""marlin"": Use Marlin kernels (weight-only<br>quantization)<br>- ""humming"": Use Humming Mixed Precision kernels<br>- ""triton_unfused"": Use Triton unfused MoE kernels<br>- ""aiter"": Use AMD AITer kernels (ROCm only)<br>- ""emulation"": use BF16/FP16 GEMM, dequantizing<br>weights and running QDQ on activations.",KernelConfig
rms_norm,list[str],[],,Priority list for vllm.ir.ops.rms_norm dispatch.,IrOpPriorityConfig
fused_add_rms_norm,list[str],[],,Priority list for vllm.ir.ops.fused_add_rms_norm dispatch.,IrOpPriorityConfig
additional-config,dict,{},,Additional config for specified platform. Different<br>platforms may support different configs. Make sure the<br>configs are valid for the platform you are using.<br>Contents must be hashable.,VllmConfig
attention-config,dict (AttentionConfig),"AttentionConfig(backend=None, flash_attn_version=None,<br>use_prefill_decode_attention=False,<br>flash_attn_max_num_splits_for_cuda_graph=32,<br>tq_max_kv_splits_for_cuda_graph=32,<br>use_trtllm_attention=None,<br>disable_flashinfer_q_quantization=False,<br>mla_prefill_backend=None,<br>use_prefill_query_quantization=False,<br>use_fp4_indexer_cache=False, use_non_causal=False,<br>flex_attn_block_m=None, flex_attn_block_n=None,<br>flex_attn_q_block_size=None,<br>flex_attn_kv_block_size=None)",,Attention configuration.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.AttentionConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,VllmConfig
compilation-config,dict (CompilationConfig),"{'mode': None,<br>'debug_dump_path': None, 'cache_dir': '',<br>'compile_cache_save_format': 'binary', 'backend': 'vll<br>m_ascend.compilation.compiler_interface.AscendCompiler<br>', 'custom_ops': [], 'ir_enable_torch_wrap': None,<br>'splitting_ops': None, 'compile_mm_encoder': False,<br>'cudagraph_mm_encoder': False,<br>'encoder_cudagraph_token_budgets': [],<br>'encoder_cudagraph_max_vision_items_per_batch': 0,<br>'encoder_cudagraph_max_frames_per_batch': None,<br>'compile_sizes': None, 'compile_ranges_endpoints':<br>None, 'inductor_compile_config':<br>{'enable_auto_functionalized_v2': False,<br>'size_asserts': False, 'alignment_asserts': False,<br>'scalar_asserts': False, 'combo_kernels': True,<br>'benchmark_combo_kernel': True}, 'inductor_passes':<br>{}, 'cudagraph_mode': None,<br>'cudagraph_num_of_warmups': 0,<br>'cudagraph_capture_sizes': None,<br>'cudagraph_copy_inputs': False,<br>'cudagraph_specialize_lora': True,<br>'use_inductor_graph_partition': None, 'pass_config':<br>{}, 'max_cudagraph_capture_size': None,<br>'dynamic_shapes_config': {'type':<br><DynamicShapesType.BACKED: 'backed'>,<br>'evaluate_guards': False, 'assume_32_bit_indexing':<br>False}, 'local_cache_dir': None,<br>'fast_moe_cold_start': None, 'static_all_moe_layers':<br>[]}",,"torch.compile` and cudagraph capture configuration<br>for the model.<br>As a shorthand, one can append compilation arguments<br>via<br>-cc.parameter=argument such as `-cc.mode=3` (same as<br>`-cc='{""mode"":3}'`).<br>You can specify the full compilation config like so:<br>`{""mode"": 3, ""cudagraph_capture_sizes"": [1, 2, 4, 8]}`<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.CompilationConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.",VllmConfig
ec-transfer-config,dict (ECTransferConfig),None,,The configurations for distributed EC cache transfer.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.ECTransferConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,VllmConfig
kernel-config,dict (KernelConfig),"KernelConfig(ir_op_prio<br>rity=IrOpPriorityConfig(rms_norm=[],<br>fused_add_rms_norm=[]),<br>enable_flashinfer_autotune=None, moe_backend='auto',<br>linear_backend='auto')",,Kernel configuration.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.KernelConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,VllmConfig
kv-events-config,dict (KVEventsConfig),None,,The configurations for event publishing.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.KVEventsConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,VllmConfig
kv-transfer-config,dict (KVTransferConfig),None,,The configurations for distributed KV cache transfer.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.KVTransferConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,VllmConfig
optimization-level,int,2,,"The optimization level. These levels trade startup<br>time cost for performance, with -O0 having the best<br>startup time and -O3 having the best performance. -O2<br>is used by default. See OptimizationLevel for full<br>description.",VllmConfig
performance-mode,Enum,balanced,"balanced,interactivity,throughput","Performance mode for runtime behavior, 'balanced' is<br>the default. 'interactivity' favors low end-to-end<br>per-request latency at small batch sizes (fine-grained<br>CUDA graphs, latency-oriented kernels). 'throughput'<br>favors aggregate tokens/sec at high concurrency<br>(larger CUDA graphs, more aggressive batching,<br>throughput-oriented kernels).",VllmConfig
profiler-config,dict (ProfilerConfig),"ProfilerConfig(profiler=None, torch_profiler_dir='',<br>torch_profiler_with_stack=True,<br>torch_profiler_with_flops=False,<br>torch_profiler_use_gzip=True,<br>torch_profiler_dump_cuda_time_total=True,<br>torch_profiler_record_shapes=False,<br>torch_profiler_with_memory=False,<br>ignore_frontend=False, delay_iterations=0,<br>max_iterations=0, warmup_iterations=0,<br>active_iterations=5, wait_iterations=0)",,Profiling configuration.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.ProfilerConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,VllmConfig
reasoning-config,dict (ReasoningConfig),None,,The configurations for reasoning model.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.ReasoningConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,VllmConfig
spec-method,Enum,None,"custom_class,deepseek_mtp,dflash,draft_model,eagle,eagle3,ernie_mtp,exaone4_5_mtp,exaone_moe_mtp,extract_hidden_states,gemma4_mtp,glm4_moe_lite_mtp,glm4_moe_mtp,glm_ocr_mtp,hy_v3_mtp,longcat_flash_mtp,medusa,mimo_mtp,mimo_v2_mtp,mlp_speculator,mtp,nemotron_h_mtp,ngram,ngram_gpu,pangu_ultra_moe_mtp,qwen3_5_mtp,qwen3_next_mtp,step3p5_mtp,suffix,None","The name of the speculative method to use. If users<br>provide and set the `model` param, the speculative<br>method type will be detected automatically if<br>possible, if `model` param is not provided, the method<br>name must be provided.<br>If using `ngram` method, the related configuration<br>`prompt_lookup_max` and `prompt_lookup_min` should be<br>considered.",VllmConfig
spec-model,str,None,,"The name of the draft model, eagle head, or additional<br>weights, if provided.",VllmConfig
spec-tokens,int,None,,"The number of speculative tokens, if provided. It will<br>default to the number in the draft model config if<br>present, otherwise, it is required.",VllmConfig
speculative-config,dict (SpeculativeConfig),None,,Speculative decoding configuration.<br>API docs: https://docs.vllm.ai/en/latest/api/vllm/conf<br>ig/#vllm.config.SpeculativeConfig<br>Should either be a valid JSON string or JSON keys<br>passed individually.,VllmConfig
